UniqID	ICD-10_Description	ICD-9_Description
000043	Balantidiasis	Balantidiasis
000044	Giardiasis [lambliasis]	Giardiasis
000047	Cryptosporidiosis	Cryptosporidiosis
000045	Isosporiasis	Coccidiosis
000048	Cyclosporiasis	Cyclosporiasis
000046	Other specified protozoal intestinal diseases	Intestinal trichomoniasis
000049	Other specified protozoal intestinal diseases	Other specified protozoal intestinal diseases
001438	Other specified protozoal intestinal diseases	Sarcosporidiosis
000050	Protozoal intestinal disease, unspecified	Unspecified protozoal intestinal disease
000069	Rotaviral enteritis	Enteritis due to rotavirus
000071	Acute gastroenteropathy due to Norwalk agent	Enteritis due to norwalk virus
000072	Acute gastroenteropathy due to other small round viruses	Enteritis due to other small round viruses [SRV's]
000070	Adenoviral enteritis	Enteritis due to adenovirus
000073	Calicivirus enteritis	Enteritis due to calicivirus
000074	Astrovirus enteritis	Enteritis due to astrovirus
000075	Other viral enteritis	Enteritis due to enterovirus nec
000076	Other viral enteritis	Enteritis due to other viral enteritis
000077	Other specified intestinal infections	Intestinal infection due to other organism, not elsewhere classified
000078	Infectious gastroenteritis and colitis, unspecified	Infectious colitis, enteritis, and gastroenteritis
000079	Infectious gastroenteritis and colitis, unspecified	Colitis, enteritis, and gastroenteritis of presumed infectious origin
000080	Infectious gastroenteritis and colitis, unspecified	Infectious diarrhea
000081	Infectious gastroenteritis and colitis, unspecified	Diarrhea of presumed infectious origin
000110	Tuberculosis of lung	Tuberculosis of lung, infiltrative, unspecified
000111	Tuberculosis of lung	Tuberculosis of lung, infiltrative, bacteriological or histological examination not done
000112	Tuberculosis of lung	Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)
000113	Tuberculosis of lung	Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy
000114	Tuberculosis of lung	Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000115	Tuberculosis of lung	Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000177	Tuberculosis of lung	Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000178	Tuberculosis of lung	Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000179	Tuberculosis of lung	Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000171	Tuberculosis of lung	Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000172	Tuberculosis of lung	Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000173	Tuberculosis of lung	Pulmonary tuberculosis, unspecified, unspecified
000174	Tuberculosis of lung	Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done
000175	Tuberculosis of lung	Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)
000176	Tuberculosis of lung	Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy
000165	Tuberculosis of lung	Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000166	Tuberculosis of lung	Other specified pulmonary tuberculosis, unspecified
000167	Tuberculosis of lung	Other specified pulmonary tuberculosis, bacteriological or histological examination not done
000168	Tuberculosis of lung	Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)
000169	Tuberculosis of lung	Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy
000170	Tuberculosis of lung	Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000159	Tuberculosis of lung	Tuberculous pneumothorax, unspecified
000160	Tuberculosis of lung	Tuberculous pneumothorax, bacteriological or histological examination not done
000161	Tuberculosis of lung	Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)
000162	Tuberculosis of lung	Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy
000163	Tuberculosis of lung	Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000164	Tuberculosis of lung	Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000153	Tuberculosis of lung	Tuberculous pneumonia [any form], bacteriological or histological examination not done
000154	Tuberculosis of lung	Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)
000155	Tuberculosis of lung	Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy
000156	Tuberculosis of lung	Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000157	Tuberculosis of lung	Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000158	Tuberculosis of lung	Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000147	Tuberculosis of lung	Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)
000148	Tuberculosis of lung	Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy
000149	Tuberculosis of lung	Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000150	Tuberculosis of lung	Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000151	Tuberculosis of lung	Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000152	Tuberculosis of lung	Tuberculous pneumonia [any form], unspecified
000141	Tuberculosis of lung	Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy
000142	Tuberculosis of lung	Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000143	Tuberculosis of lung	Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000144	Tuberculosis of lung	Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000145	Tuberculosis of lung	Tuberculous bronchiectasis, unspecified
000146	Tuberculosis of lung	Tuberculous bronchiectasis, bacteriological or histological examination not done
000128	Tuberculosis of lung	Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000129	Tuberculosis of lung	Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000130	Tuberculosis of lung	Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000138	Tuberculosis of lung	Tuberculous fibrosis of lung, unspecified
000139	Tuberculosis of lung	Tuberculous fibrosis of lung, bacteriological or histological examination not done
000140	Tuberculosis of lung	Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)
000122	Tuberculosis of lung	Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000123	Tuberculosis of lung	Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000124	Tuberculosis of lung	Tuberculosis of lung with cavitation, unspecified
000125	Tuberculosis of lung	Tuberculosis of lung with cavitation, bacteriological or histological examination not done
000126	Tuberculosis of lung	Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)
000127	Tuberculosis of lung	Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy
000116	Tuberculosis of lung	Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000117	Tuberculosis of lung	Tuberculosis of lung, nodular, unspecified
000118	Tuberculosis of lung	Tuberculosis of lung, nodular, bacteriological or histological examination not done
000119	Tuberculosis of lung	Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)
000120	Tuberculosis of lung	Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy
000121	Tuberculosis of lung	Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000187	Tuberculosis of intrathoracic lymph nodes	Tuberculosis of intrathoracic lymph nodes, unspecified
000188	Tuberculosis of intrathoracic lymph nodes	Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done
000189	Tuberculosis of intrathoracic lymph nodes	Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)
000190	Tuberculosis of intrathoracic lymph nodes	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy
000191	Tuberculosis of intrathoracic lymph nodes	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000192	Tuberculosis of intrathoracic lymph nodes	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000193	Tuberculosis of intrathoracic lymph nodes	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000131	Tuberculosis of larynx, trachea and bronchus	Tuberculosis of bronchus, unspecified
000132	Tuberculosis of larynx, trachea and bronchus	Tuberculosis of bronchus, bacteriological or histological examination not done
000133	Tuberculosis of larynx, trachea and bronchus	Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)
000134	Tuberculosis of larynx, trachea and bronchus	Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy
000135	Tuberculosis of larynx, trachea and bronchus	Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture
000136	Tuberculosis of larynx, trachea and bronchus	Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000205	Tuberculosis of larynx, trachea and bronchus	Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000206	Tuberculosis of larynx, trachea and bronchus	Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000207	Tuberculosis of larynx, trachea and bronchus	Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000199	Tuberculosis of larynx, trachea and bronchus	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000200	Tuberculosis of larynx, trachea and bronchus	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000201	Tuberculosis of larynx, trachea and bronchus	Tuberculous laryngitis, unspecified
000202	Tuberculosis of larynx, trachea and bronchus	Tuberculous laryngitis, bacteriological or histological examination not done
000203	Tuberculosis of larynx, trachea and bronchus	Tuberculous laryngitis, bacteriological or histological examination unknown (at present)
000204	Tuberculosis of larynx, trachea and bronchus	Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy
000137	Tuberculosis of larynx, trachea and bronchus	Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000194	Tuberculosis of larynx, trachea and bronchus	Isolated tracheal or bronchial tuberculosis, unspecified
000195	Tuberculosis of larynx, trachea and bronchus	Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done
000196	Tuberculosis of larynx, trachea and bronchus	Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)
000197	Tuberculosis of larynx, trachea and bronchus	Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy
000198	Tuberculosis of larynx, trachea and bronchus	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000089	Tuberculous pleurisy	Tuberculous pleurisy in primary progressive tuberculosis, unspecified
000090	Tuberculous pleurisy	Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done
000091	Tuberculous pleurisy	Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)
000092	Tuberculous pleurisy	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy
000093	Tuberculous pleurisy	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000094	Tuberculous pleurisy	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000185	Tuberculous pleurisy	Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000186	Tuberculous pleurisy	Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000095	Tuberculous pleurisy	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000180	Tuberculous pleurisy	Tuberculous pleurisy, unspecified
000181	Tuberculous pleurisy	Tuberculous pleurisy, bacteriological or histological examination not done
000182	Tuberculous pleurisy	Tuberculous pleurisy, bacteriological or histological examination unknown (at present)
000183	Tuberculous pleurisy	Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy
000184	Tuberculous pleurisy	Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000082	Primary respiratory tuberculosis	Primary tuberculous infection, unspecified
000083	Primary respiratory tuberculosis	Primary tuberculous infection, bacteriological or histological examination not done
000084	Primary respiratory tuberculosis	Primary tuberculous infection, bacteriological or histological examination unknown (at present)
000085	Primary respiratory tuberculosis	Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy
000086	Primary respiratory tuberculosis	Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000087	Primary respiratory tuberculosis	Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000107	Primary respiratory tuberculosis	Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000108	Primary respiratory tuberculosis	Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000109	Primary respiratory tuberculosis	Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000101	Primary respiratory tuberculosis	Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000102	Primary respiratory tuberculosis	Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000103	Primary respiratory tuberculosis	Primary tuberculous infection, unspecified, unspecified
000104	Primary respiratory tuberculosis	Primary tuberculous infection, unspecified, bacteriological or histological examination not done
000105	Primary respiratory tuberculosis	Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)
000106	Primary respiratory tuberculosis	Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy
000088	Primary respiratory tuberculosis	Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000096	Primary respiratory tuberculosis	Other primary progressive tuberculosis, unspecified
000097	Primary respiratory tuberculosis	Other primary progressive tuberculosis, bacteriological or histological examination not done
000098	Primary respiratory tuberculosis	Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)
000099	Primary respiratory tuberculosis	Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy
000100	Primary respiratory tuberculosis	Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000208	Other respiratory tuberculosis	Other specified respiratory tuberculosis, unspecified
000209	Other respiratory tuberculosis	Other specified respiratory tuberculosis, bacteriological or histological examination not done
000210	Other respiratory tuberculosis	Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)
000211	Other respiratory tuberculosis	Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy
000212	Other respiratory tuberculosis	Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000213	Other respiratory tuberculosis	Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000214	Other respiratory tuberculosis	Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000215	Tuberculous meningitis	Tuberculous meningitis, unspecified
000216	Tuberculous meningitis	Tuberculous meningitis, bacteriological or histological examination not done
000217	Tuberculous meningitis	Tuberculous meningitis, bacteriological or histological examination unknown (at present)
000218	Tuberculous meningitis	Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy
000219	Tuberculous meningitis	Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000220	Tuberculous meningitis	Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000221	Tuberculous meningitis	Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000222	Meningeal tuberculoma	Tuberculoma of meninges, unspecified
000223	Meningeal tuberculoma	Tuberculoma of meninges, bacteriological or histological examination not done
000224	Meningeal tuberculoma	Tuberculoma of meninges, bacteriological or histological examination unknown (at present)
000225	Meningeal tuberculoma	Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy
000226	Meningeal tuberculoma	Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000227	Meningeal tuberculoma	Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000228	Meningeal tuberculoma	Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000229	Tuberculoma of brain and spinal cord	Tuberculoma of brain, unspecified
000230	Tuberculoma of brain and spinal cord	Tuberculoma of brain, bacteriological or histological examination not done
000231	Tuberculoma of brain and spinal cord	Tuberculoma of brain, bacteriological or histological examination unknown (at present)
000232	Tuberculoma of brain and spinal cord	Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy
000233	Tuberculoma of brain and spinal cord	Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000234	Tuberculoma of brain and spinal cord	Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000253	Tuberculoma of brain and spinal cord	Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy
000254	Tuberculoma of brain and spinal cord	Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000255	Tuberculoma of brain and spinal cord	Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000256	Tuberculoma of brain and spinal cord	Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000247	Tuberculoma of brain and spinal cord	Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000248	Tuberculoma of brain and spinal cord	Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000249	Tuberculoma of brain and spinal cord	Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000250	Tuberculoma of brain and spinal cord	Tuberculous abscess of spinal cord, unspecified
000251	Tuberculoma of brain and spinal cord	Tuberculous abscess of spinal cord, bacteriological or histological examination not done
000252	Tuberculoma of brain and spinal cord	Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)
000241	Tuberculoma of brain and spinal cord	Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000242	Tuberculoma of brain and spinal cord	Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000243	Tuberculoma of brain and spinal cord	Tuberculoma of spinal cord, unspecified
000244	Tuberculoma of brain and spinal cord	Tuberculoma of spinal cord, bacteriological or histological examination not done
000245	Tuberculoma of brain and spinal cord	Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)
000246	Tuberculoma of brain and spinal cord	Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy
000235	Tuberculoma of brain and spinal cord	Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000236	Tuberculoma of brain and spinal cord	Tuberculous abscess of brain, unspecified
000237	Tuberculoma of brain and spinal cord	Tuberculous abscess of brain, bacteriological or histological examination not done
000238	Tuberculoma of brain and spinal cord	Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)
000239	Tuberculoma of brain and spinal cord	Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy
000240	Tuberculoma of brain and spinal cord	Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000257	Tuberculous meningoencephalitis	Tuberculous encephalitis or myelitis, unspecified
000258	Tuberculous meningoencephalitis	Tuberculous encephalitis or myelitis, bacteriological or histological examination not done
000259	Tuberculous meningoencephalitis	Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)
000260	Tuberculous meningoencephalitis	Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy
000261	Tuberculous meningoencephalitis	Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000262	Tuberculous meningoencephalitis	Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000263	Tuberculous meningoencephalitis	Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000264	Other tuberculosis of nervous system	Other specified tuberculosis of central nervous system, unspecified
000265	Other tuberculosis of nervous system	Other specified tuberculosis of central nervous system, bacteriological or histological examination not done
000266	Other tuberculosis of nervous system	Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)
000267	Other tuberculosis of nervous system	Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy
000268	Other tuberculosis of nervous system	Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000269	Other tuberculosis of nervous system	Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000270	Other tuberculosis of nervous system	Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000271	Tuberculosis of nervous system, unspecified	Unspecified tuberculosis of central nervous system, unspecified
000272	Tuberculosis of nervous system, unspecified	Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done
000273	Tuberculosis of nervous system, unspecified	Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)
000274	Tuberculosis of nervous system, unspecified	Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy
000275	Tuberculosis of nervous system, unspecified	Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
000276	Tuberculosis of nervous system, unspecified	Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
000277	Tuberculosis of nervous system, unspecified	Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
000299	Tuberculosis of spine	Tuberculosis of vertebral column, unspecified
000300	Tuberculosis of spine	Tuberculosis of vertebral column, bacteriological or histological examination not done
000301	Tuberculosis of spine	Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)
